team_name,game_num,date,site,game_type,opp_name,w_l,pts,opp_pts,fg,fga,fg_per,3p,3pa,3p_per,ft,fta,ft_per,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_per,opp_3p,opp_3pa,opp_3p_per,opp_ft,opp_fta,opp_ft_per,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
Virginia Cavaliers,7,11/27/17,Home,R,Wisconsin,1,49,37,23,60,0.383,3,14,0.214,0,0,1,36,7,6,2,12,14,15,48,0.313,0.3,20,0.15,0.4,7,0.571,0.8,28,6,5,1,14,10,15
Virginia Cavaliers,3,11/18/10,Away,R,Stanford,0,60,81,20,47,0.426,9,24,0.375,11,11,1,4,24,11,4,2,16,18,31,57,0.544,13,23,0.565,6,14,0.429,10,29,13,2,2,12,16
Virginia Cavaliers,2,11/15/11,Home,R,Winthrop,1,69,48,22,46,0.478,6,18,0.333,19,19,1,6,28,13,2,3,9,16,17,42,0.405,5,13,0.385,9,19,0.474,2,18,5,3,2,10,18
Virginia Cavaliers,19,1/26/12,Home,R,Boston College,1,66,49,27,53,0.509,4,10,0.4,8,8,1,4,29,16,10,2,8,12,18,45,0.4,7,20,0.35,6,9,0.667,3,24,8,5,4,15,13
Virginia Cavaliers,25,2/14/12,Away,R,Clemson,0,48,60,22,44,0.5,3,16,0.188,1,1,1,3,26,12,5,1,18,16,23,50,0.46,5,15,0.333,9,13,0.692,5,22,13,14,2,9,9
Virginia Cavaliers,5,11/19/12,Home,R,Lamar,1,63,44,23,53,0.434,6,16,0.375,11,11,1,3,24,12,9,8,9,16,15,46,0.326,3,6,0.5,11,12,0.917,5,25,8,3,6,14,13
Virginia Cavaliers,30,3/7/13,Away,R,Florida State,0,51,53,22,57,0.386,2,14,0.143,5,5,1,13,29,7,3,2,7,13,21,44,0.477,4,9,0.444,7,8,0.875,3,20,10,4,6,12,10
Virginia Cavaliers,33,3/12/16,Neutral,A,UNC,0,57,61,23,63,0.365,8,24,0.333,3,3,1,14,32,10,4,3,9,10,24,47,0.511,3,12,0.25,10,13,0.769,5,28,11,8,2,10,10
Virginia Cavaliers,20,1/29/17,Away,R,Villanova,0,59,61,25,50,0.5,6,18,0.333,3,3,1,6,19,13,6,2,9,18,17,40,0.425,7,16,0.438,20,24,0.833,5,23,9,5,2,10,8
Virginia Cavaliers,25,2/15/17,Home,R,Duke,0,55,65,21,57,0.368,5,20,0.25,8,8,1,10,30,9,3,3,8,21,19,42,0.452,9,19,0.474,18,20,0.9,5,28,8,4,2,10,12
Virginia Cavaliers,30,3/4/17,Home,R,Pitt,1,67,42,27,62,0.435,11,22,0.5,2,2,1,7,30,13,8,2,7,11,15,45,0.333,4,20,0.2,8,8,1,5,26,6,5,4,14,7
Virginia Cavaliers,19,1/21/18,Away,R,Wake Forest,1,59,49,21,52,0.404,7,17,0.412,10,10,1,7,30,12,7,6,7,11,17,46,0.37,4,13,0.308,11,14,0.786,6,28,9,3,4,12,15
Virginia Cavaliers,3,11/19/15,Neutral,R,Bradley,1,82,57,30,53,0.566,6,15,0.4,16,17,0.941,7,33,19,6,2,9,20,18,46,0.391,6,15,0.4,15,24,0.625,5,18,7,2,1,12,15
Virginia Cavaliers,33,3/10/18,Neutral,A,UNC,1,71,63,21,50,0.42,9,17,0.529,20,22,0.909,5,26,15,4,2,4,16,20,49,0.408,10,25,0.4,13,17,0.765,8,29,15,2,1,8,18
Virginia Cavaliers,14,1/7/15,Home,R,NC State,1,61,51,23,56,0.411,6,20,0.3,9,10,0.9,11,36,13,5,4,9,10,20,53,0.377,9,21,0.429,2,9,0.222,7,28,9,3,4,11,13
Virginia Cavaliers,23,2/6/17,Home,R,Louisville,1,71,55,25,47,0.532,3,12,0.25,18,20,0.9,9,35,13,2,8,14,14,20,54,0.37,5,18,0.278,10,15,0.667,4,16,7,9,2,5,15
Virginia Cavaliers,24,2/8/14,Away,R,Georgia Tech,1,64,45,21,53,0.396,5,11,0.455,17,19,0.895,12,43,10,7,2,9,14,18,49,0.367,6,15,0.4,3,13,0.231,6,23,10,5,7,11,16
Virginia Cavaliers,25,2/13/16,Away,R,Duke,0,62,63,26,54,0.481,2,11,0.182,8,9,0.889,5,26,13,3,1,7,19,23,51,0.451,8,22,0.364,9,16,0.563,9,31,12,5,1,9,13
Virginia Cavaliers,1,11/11/16,Away,R,UNC Greensboro,1,76,51,26,50,0.52,8,16,0.5,16,18,0.889,11,35,13,8,1,11,17,17,46,0.37,7,21,0.333,10,13,0.769,7,21,7,6,1,11,15
Virginia Cavaliers,3,11/20/16,Home,R,Yale,1,62,38,24,60,0.4,6,20,0.3,8,9,0.889,12,33,17,6,7,7,10,16,47,0.34,4,14,0.286,2,4,0.5,6,25,7,5,2,13,13
Virginia Cavaliers,24,2/12/11,Away,R,Florida State,0,56,63,19,60,0.317,11,30,0.367,7,8,0.875,7,26,12,11,2,10,18,21,47,0.447,6,18,0.333,15,19,0.789,6,37,10,6,6,16,14
Virginia Cavaliers,22,2/4/12,Away,R,Florida State,0,55,58,21,45,0.467,6,18,0.333,7,8,0.875,4,23,11,10,1,20,17,22,46,0.478,5,12,0.417,9,16,0.563,8,24,7,10,5,19,13
Virginia Cavaliers,4,11/17/12,Home,R,Seattle,1,83,43,28,50,0.56,6,14,0.429,21,24,0.875,9,38,21,7,6,19,13,15,59,0.254,5,19,0.263,8,14,0.571,11,25,4,10,0,19,19
